"estado" "region" "densidad" "veteranos" "mujeres" "grad_instituto" "grad_univ" "afro" "asia" "hispanos" "blancos" "evangelicos" "protestantes" "relig_afro" "catolicos" "mormones" "jubilados" "paro" "salario" "obama" "diputados"
"Alabama" 3 94.4 8.1 51.5 82.6 22.3 26.2 1.1 3.9 67 49 1 18 6 1 13.8 8 43464 38.36 9
"Alaska" 4 1.2 10.1 48 91.6 27.5 3.3 5.4 5.5 64.1 26 19 2 14 4 7.7 7.6 63648 40.81 3
"Arizona" 4 56.3 8.2 50.3 85.4 26.6 4.1 2.8 29.6 57.8 23 15 2 25 4 13.8 8.4 47044 44.59 11
"Arkansas" 3 56 7.9 50.9 83.3 19.8 15.4 1.2 6.4 74.5 53 16 10 5 0 14.4 7.6 39018 36.88 6
"California" 4 239.1 5 50.3 81 30.5 6.2 13 37.6 40.1 18 14 4 31 2 11.4 10.4 57020 60.24 55
"Colorado" 4 48.5 8.1 49.9 89.9 36.7 4 2.8 20.7 70 23 19 2 19 2 10.9 7.8 57255 51.49 9
"Connecticut" 1 738.1 6 51.3 89 36.2 10.1 3.8 13.4 71.2 9 13 4 43 1 14.2 8.3 64247 58.06 7
"Delaware" 3 460.8 8.5 51.6 87.7 28.5 21.4 3.2 8.2 65.3 15 18 14 27 0 14.4 7.2 48972 58.61 3
"District of Columbia" 3 9856.5 5.2 52.8 87.5 51.2 50.7 3.5 9.1 34.8 15 20 18 18 0 11.4 9 65246 90.91 3
"Florida" 3 350.6 8.3 51.1 85.8 26.2 16 2.4 22.5 57.9 25 15 8 26 0 17.3 8.5 46071 50.01 29
"Georgia" 3 168.4 7.2 51.2 84.4 27.8 30.5 3.2 8.8 55.9 38 16 16 12 1 10.7 9.2 48121 45.48 16
"Hawaii" 4 211.8 8.6 49.9 90.3 29.6 1.6 38.6 8.9 22.7 26 18 0 22 5 14.3 6 56263 70.55 4
"Idaho" 4 19 7.9 49.9 88.6 24.7 0.6 1.2 11.2 84 22 16 0 18 23 12.4 7.2 47922 32.62 4
"Illinois" 2 231.1 5.7 51 87 31.1 14.5 4.6 15.8 63.7 19 17 9 32 0 12.5 9 51738 57.6 20
"Indiana" 2 181 7 50.8 87 23 9.1 1.6 2 81.5 34 22 6 18 1 13 8.3 46158 43.93 11
"Iowa" 2 54.5 7.5 50.5 90.7 25.3 2.9 1.7 1.8 88.7 24 30 1 25 1 14.9 5 53442 51.99 6
"Kansas" 2 34.9 7.5 50.4 89.7 30 5.9 2.4 3 78.2 29 27 3 23 1 13.2 5.8 50003 37.99 6
"Kentucky" 3 109.9 7.3 50.8 82.4 21 7.8 1.1 1.7 86.3 49 17 5 14 0 13.3 8.2 41086 37.8 8
"Louisiana" 3 104.9 6.8 51 82.2 21.4 32 1.5 1.6 60.3 31 9 20 28 0 12.3 7.1 39085 40.58 8
"Maine" 1 43.1 9.3 51.1 90.6 27.3 1.2 1 1 94.4 15 26 0 29 1 15.9 7.5 49158 56.27 4
"Maryland" 3 594.8 7.6 51.6 88.5 36.3 29.4 5.5 8.2 54.7 15 22 17 19 0 12.3 7 71836 61.97 10
"Massachusetts" 1 839.4 5.8 51.6 89.1 39 6.6 5.3 9.6 76.1 11 15 2 43 0 13.8 6.7 63656 60.65 11
"Michigan" 2 174.8 6.7 50.9 88.7 25.5 14.2 2.4 4.4 76.6 26 19 8 23 1 13.8 9.1 50015 54.21 16
"Minnesota" 2 66.6 6.9 50.4 91.9 32.2 5.2 4 4.7 83.1 21 32 1 28 0 12.9 5.6 61795 52.65 10
"Mississippi" 3 63.2 6.8 51.4 81 20 37 0.9 2.7 58 47 11 23 9 1 12.8 9 36641 43.79 6
"Missouri" 2 87.1 8 51 87.2 25.8 11.6 1.6 3.5 81 37 18 6 18 1 14 7 49764 44.38 10
"Montana" 4 6.8 10 49.8 91.9 28.5 0.4 0.6 2.9 87.8 23 24 0 23 4 14.8 6 45088 41.7 3
"Nebraska" 2 23.8 7.9 50.4 90.4 28.1 4.5 1.8 9.2 82.1 21 27 3 31 0 13.5 4 52196 38.03 5
"Nevada" 4 24.6 8.5 49.5 84.4 22.2 8.1 7.2 26.5 54.1 13 11 2 27 11 12 11.2 47333 52.36 6
"New Hampshire" 1 147 8.4 50.7 91.4 33.4 1.1 2.2 2.8 92.3 14 19 0 29 1 13.5 5.5 67819 51.98 4
"New Jersey" 1 1195.5 4.9 51.3 87.9 35.4 13.7 0.3 17.7 59.3 12 13 5 42 0 13.5 9.3 66692 58.38 14
"New Mexico" 4 17 8.7 50.6 83.4 25.6 2.1 1.4 46.3 40.5 25 15 2 26 2 13.2 7.1 43424 52.99 5
"New York" 1 411.2 4.6 51.6 84.9 32.8 15.9 7.3 17.6 58.3 11 16 5 39 0 13.5 8.5 47680 63.35 29
"North Carolina" 3 196.1 7.6 51.3 84.5 26.8 21.5 2.2 8.4 65.3 41 21 13 9 0 12.9 9.2 41553 48.35 15
"North Dakota" 2 9.7 8.4 49.5 90.5 27.1 1.2 1 2 88.9 24 35 0 25 1 14.5 3.1 55766 38.69 3
"Ohio" 2 282.3 7.4 51.2 88.2 24.7 12.2 1.7 3.1 81.8 26 22 7 21 0 14.1 7.4 44375 50.67 18
"Oklahoma" 3 54.7 8.5 50.5 86.2 23.2 7.4 1.7 8.9 68.7 3 16 3 12 0 13.5 5.3 48407 33.23 7
"Oregon" 4 39.9 8.5 50.55 89.2 29.2 1.8 3.7 11.7 78.5 30 16 1 14 5 13.9 8.8 51775 54.24 7
"Pennsylvania" 1 283.9 7.3 51.3 89.2 27 10.8 2.7 5.7 79.5 18 25 7 29 0 15.4 7.9 51904 51.97 20
"Rhode Island" 1 1018.1 6.7 51.7 84.8 30.8 5.7 2.9 12.4 76.4 10 13 4 43 0 14.4 10.4 56065 62.7 4
"South Carolina" 3 153.9 8.5 51.4 84 24.6 27.9 1.3 5.1 64.1 45 18 15 8 0 13.7 9.2 44401 44.09 9
"South Dakota" 2 10.7 8.4 50 90.1 26 1.3 0.9 2.7 84.7 25 28 0 20 1 14.3 4.3 49415 39.87 3
"Tennessee" 3 153.9 7.5 51.3 83.9 23.5 16.7 1.4 4.6 75.6 51 18 8 7 1 13.4 7.8 42995 39.08 11
"Texas" 3 96.3 6.4 50.4 80.8 26.3 11.8 3.8 37.6 45.3 34 15 8 24 1 10.3 6.7 51926 41.38 38
"Utah" 4 33.6 5.2 49.8 90.6 29.9 1.1 2 13 80.4 7 6 1 10 58 9 5.4 58341 24.75 6
"Vermont" 1 67.9 7.7 50.7 91.3 34.2 1 1.3 1.5 94.3 11 23 0 29 1 14.6 5 55582 66.57 3
"Virginia" 3 202.6 9.1 50.9 86.9 34.7 19.4 5 7.9 64.8 31 20 10 14 1 12.2 6 64632 51.16 13
"Washington" 4 101.2 8.7 50.2 90 31.6 3.6 7.2 11.2 72.5 25 23 1 16 2 12.3 8.1 62187 56.16 12
"West Virginia" 3 77.1 8.8 50.7 83.4 17.9 3.4 0.7 1.5 93.2 36 32 2 7 0 16 7.5 43553 35.54 5
"Wisconsin" 2 105 7.1 50.4 90.2 26.4 6.3 2.3 5.9 83.3 24 23 3 29 0 13.7 7 53079 52.83 10
"Wyoming" 4 5.8 8.6 49 92.1 24.3 0.8 0.8 8.9 85.9 25 21 0 23 5 12.4 5.3 57512 27.82 3
